nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
dwell_time_all_fixed_window	run_Family_E_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_E_4_noise_0.5\dwell_times_all.txt	20	0.498295	0.44074	0.0609647	3.82927e-07	2.41858	3.61339	6.7308	-944834.202621	944834.202621	1889759.555768	True	141.5689
dwell_time_all_fixed_window	run_High_Pause_6	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_6\dwell_times_all.txt	20	0.0248214	0.821887	0.153291	8.23654e-09	1.91236	11.2643	25.4685	-479198.786117	479198.786117	958480.124618	True	71.2839
dwell_time_all_fixed_window	run_Family_G_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_G_5_noise_0.5\dwell_times_all.txt	20	0.467136	0.53168	0.00118309	4.06898e-07	2.38095	3.07338	9.95979	-979825.946689	979825.946689	1959743.700960	True	101.8048
dwell_time_all_fixed_window	run_High_Unwinding_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Unwinding_2_noise_0.5\dwell_times_all.txt	20	0.456821	0.543178	3.80444e-07	6.01142e-07	2.32809	3.22714	9.94279	-979658.569682	979658.569682	1959409.105325	True	45.8685
dwell_time_all_fixed_window	run_High_Pausing	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pausing\dwell_times_all.txt	20	0.0265784	0.839498	0.133923	1.17106e-08	1.94611	10.5709	25.4954	-498583.869117	498583.869117	997250.694460	True	74.0854
dwell_time_all_fixed_window	run_High_Pause_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_5_noise_0.5\dwell_times_all.txt	20	0.0354753	0.890491	0.0740337	9.40503e-08	1.90899	9.02182	20.5333	-578553.119932	578553.119932	1157190.714735	True	86.0158
dwell_time_all_fixed_window	run_High_Pausing_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pausing_noise_0.5\dwell_times_all.txt	20	0.0264268	0.828415	0.145158	6.5884e-09	1.95161	10.4638	24.8068	-498866.093900	498866.093900	997815.150016	True	75.4134
dwell_time_all_fixed_window	run_High_Pause_6_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_6_noise_0.5\dwell_times_all.txt	20	0.0268954	0.668826	0.304279	8.66896e-10	1.94502	10.1838	20.6822	-480430.629810	480430.629810	960943.833339	True	81.3191
dwell_time_all_fixed_window	run_High_Unwinding	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Unwinding\dwell_times_all.txt	20	0.716037	0.283527	0.000435456	4.65752e-07	2.45373	2.72078	9.99674	-963817.758981	963817.758981	1927728.869224	True	65.6962
dwell_time_all_fixed_window	run_High_Unwinding_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Unwinding_3_noise_0.5\dwell_times_all.txt	20	0.711261	0.287795	0.000943662	4.60476e-07	2.44952	2.87794	9.99593	-964308.400918	964308.400918	1928710.028775	True	62.8832
dwell_time_all_fixed_window	run_High_Unwinding_3	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Unwinding_3\dwell_times_all.txt	20	0.711092	0.288122	0.000784701	4.6313e-07	2.44833	2.88327	9.99662	-963979.266863	963979.266863	1928051.761068	True	64.2058
dwell_time_all_fixed_window	run_High_Unwinding_2	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Unwinding_2\dwell_times_all.txt	20	0.514988	0.476711	0.00830063	4.04126e-07	2.38469	3.08569	9.95684	-978438.598578	978438.598578	1956969.162305	True	70.2537
dwell_time_all_fixed_window	run_High_Unwinding_	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Unwinding_\dwell_times_all.txt	20	0.717351	0.282129	0.00051923	4.62841e-07	2.45345	2.71919	9.99704	-964011.232657	964011.232657	1928115.824712	True	63.5115
dwell_time_all_fixed_window	run_High_Unwinding_5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Unwinding_5\dwell_times_all.txt	20	0.688927	0.309977	0.00109629	4.64786e-07	2.44687	2.77171	9.99285	-971602.103134	971602.103134	1943297.371143	True	65.2609
